Gene symbol,P-value (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),FDR step up (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),Fold change (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11)
KLRG1,3.13E-01,5.87E-01,-1.40E+00
RPTOR,1.84E-02,1.03E-01,-1.40E+00
FAM129B,1.05E-05,4.64E-04,-1.40E+00
KIDINS220,5.78E-03,4.61E-02,-1.40E+00
MTFR1L,1.94E-02,1.07E-01,-1.41E+00
MFN2,2.79E-03,2.77E-02,-1.41E+00
EBP,8.16E-04,1.14E-02,-1.41E+00
B3GAT3,1.76E-02,9.98E-02,-1.41E+00
KLHL22,1.93E-02,1.06E-01,-1.41E+00
MTG1,6.99E-03,5.31E-02,-1.41E+00
PSMG3,9.81E-03,6.72E-02,-1.41E+00
VAMP8,2.17E-02,1.15E-01,-1.41E+00
RNF19A,4.17E-04,7.08E-03,-1.41E+00
SLC25A4,1.34E-01,3.63E-01,-1.41E+00
FAM160B2,2.68E-02,1.33E-01,-1.41E+00
SMN2,2.49E-01,5.15E-01,-1.41E+00
USP31,5.49E-02,2.11E-01,-1.41E+00
AES,8.64E-04,1.18E-02,-1.41E+00
ENC1,2.20E-02,1.16E-01,-1.41E+00
FGF14-AS2,5.19E-01,7.65E-01,-1.41E+00
GTF3A,5.59E-05,1.62E-03,-1.41E+00
FAM204BP,2.04E-01,4.64E-01,-1.41E+00
GNAI1,1.78E-01,4.30E-01,-1.41E+00
ZBED3-AS1,3.04E-01,5.78E-01,-1.41E+00
SCAPER,1.09E-02,7.26E-02,-1.41E+00
VLDLR,9.36E-02,2.93E-01,-1.41E+00
POC1B-AS1,1.91E-01,4.47E-01,-1.41E+00
A1BG,8.89E-02,2.85E-01,-1.41E+00
GPR155,8.03E-01,9.30E-01,-1.41E+00
RNF216P1,5.30E-03,4.34E-02,-1.41E+00
CENPV,1.74E-01,4.24E-01,-1.41E+00
AC009005.1,8.41E-01,9.45E-01,-1.41E+00
COPZ2,2.81E-01,5.54E-01,-1.41E+00
TMEM62,2.98E-02,1.43E-01,-1.41E+00
IMP3,1.15E-02,7.50E-02,-1.41E+00
RPL23AP53,6.41E-01,8.43E-01,-1.41E+00
USB1,2.41E-01,5.06E-01,-1.41E+00
COX7B,1.77E-01,4.28E-01,-1.41E+00
NEK4,2.68E-02,1.33E-01,-1.41E+00
LCOR,1.68E-04,3.67E-03,-1.41E+00
PIGF,4.28E-01,6.93E-01,-1.41E+00
RNPEPL1,1.98E-02,1.08E-01,-1.41E+00
RAB10,1.12E-05,4.86E-04,-1.41E+00
AKR1B1,7.81E-04,1.11E-02,-1.41E+00
NIPA2,1.75E-02,9.94E-02,-1.41E+00
EIF4EBP2,1.85E-02,1.03E-01,-1.41E+00
ZYX,4.54E-03,3.90E-02,-1.41E+00
HPS6,7.00E-02,2.45E-01,-1.41E+00
FAM86C1,5.61E-02,2.14E-01,-1.41E+00
AC104297.1,5.23E-01,7.67E-01,-1.41E+00
ATP6V0C,3.88E-03,3.50E-02,-1.42E+00
PLA2G4B,4.52E-01,7.15E-01,-1.42E+00
NXT2,9.96E-02,3.05E-01,-1.42E+00
UBL7,1.59E-01,4.04E-01,-1.42E+00
C7orf26,5.91E-02,2.21E-01,-1.42E+00
CNPPD1,3.62E-03,3.34E-02,-1.42E+00
LRTOMT,5.76E-02,2.17E-01,-1.42E+00
PRKCH,3.10E-01,5.84E-01,-1.42E+00
SNX8,7.23E-03,5.43E-02,-1.42E+00
GSDME,5.38E-03,4.39E-02,-1.42E+00
AC022868.1,1.87E-02,1.04E-01,-1.42E+00
ZNF252P,8.48E-04,1.17E-02,-1.42E+00
NUDT18,5.37E-01,7.76E-01,-1.42E+00
AL365181.3,3.15E-01,5.89E-01,-1.42E+00
SLC4A1AP,2.06E-05,7.50E-04,-1.42E+00
NPR2,1.47E-01,3.84E-01,-1.42E+00
TFAP2A-AS1,3.73E-01,6.44E-01,-1.42E+00
USP8,6.05E-05,1.71E-03,-1.42E+00
ACBD4,4.70E-02,1.91E-01,-1.42E+00
JRK,3.22E-02,1.51E-01,-1.42E+00
ANAPC16,3.30E-04,6.00E-03,-1.42E+00
GLUL,2.63E-01,5.33E-01,-1.42E+00
AHCYL1,7.27E-06,3.42E-04,-1.42E+00
PIM3,1.48E-01,3.86E-01,-1.42E+00
CFLAR,3.83E-04,6.64E-03,-1.42E+00
PI4KAP2,4.85E-01,7.40E-01,-1.42E+00
AC003002.2,8.47E-01,9.48E-01,-1.42E+00
FUCA2,1.53E-03,1.79E-02,-1.42E+00
ORAI1,2.32E-02,1.20E-01,-1.42E+00
AL353743.1,6.64E-02,2.38E-01,-1.42E+00
CISD1,1.66E-05,6.53E-04,-1.42E+00
LARP6,2.94E-03,2.87E-02,-1.42E+00
MKKS,3.37E-02,1.56E-01,-1.42E+00
AC015712.2,2.71E-01,5.43E-01,-1.42E+00
MESD,2.12E-04,4.39E-03,-1.42E+00
KDM4A,2.93E-03,2.87E-02,-1.42E+00
ADAM8,5.23E-01,7.67E-01,-1.42E+00
EPS8L2,8.92E-04,1.21E-02,-1.42E+00
HEBP1,3.91E-02,1.71E-01,-1.43E+00
CU633906.1,3.06E-01,5.80E-01,-1.43E+00
OLMALINC,1.08E-01,3.21E-01,-1.43E+00
RNF4,1.21E-01,3.42E-01,-1.43E+00
GJC1,4.62E-03,3.93E-02,-1.43E+00
KIAA1468,4.63E-02,1.89E-01,-1.43E+00
FCHO1,4.71E-01,7.28E-01,-1.43E+00
PLPP3,3.19E-02,1.50E-01,-1.43E+00
FBXL15,6.15E-02,2.26E-01,-1.43E+00
ATP6V1F,2.57E-04,5.02E-03,-1.43E+00
COMTD1,9.48E-03,6.57E-02,-1.43E+00
ZNF579,2.80E-02,1.38E-01,-1.43E+00
RPLP1,9.03E-08,1.00E-05,-1.43E+00
TTC39C,6.68E-02,2.38E-01,-1.43E+00
ABCD3,3.39E-02,1.56E-01,-1.43E+00
STOM,1.42E-03,1.70E-02,-1.43E+00
KCNB1,4.50E-01,7.14E-01,-1.43E+00
EMC10,7.51E-04,1.09E-02,-1.43E+00
ORMDL3,1.53E-02,9.13E-02,-1.43E+00
FAM45A,1.43E-04,3.30E-03,-1.43E+00
FAS,9.03E-02,2.87E-01,-1.43E+00
PIAS1,9.11E-05,2.32E-03,-1.43E+00
IVD,7.87E-03,5.78E-02,-1.43E+00
PM20D2,4.43E-02,1.84E-01,-1.43E+00
COQ9,1.24E-04,2.93E-03,-1.43E+00
ITPRIP,7.28E-03,5.46E-02,-1.43E+00
HSPD1P6,1.13E-01,3.30E-01,-1.43E+00
AQR,1.91E-04,4.09E-03,-1.43E+00
ZFPM1,7.41E-02,2.56E-01,-1.43E+00
ZNF316,5.11E-02,2.02E-01,-1.43E+00
KIAA1841,1.68E-03,1.92E-02,-1.43E+00
HSD3B7,5.54E-02,2.12E-01,-1.43E+00
BAIAP2L1,4.88E-04,7.91E-03,-1.43E+00
TMEM132A,2.06E-02,1.11E-01,-1.43E+00
FMNL1,1.40E-02,8.58E-02,-1.43E+00
HERC2P2,2.66E-01,5.37E-01,-1.43E+00
ZDHHC17,2.17E-02,1.15E-01,-1.43E+00
NTHL1,2.94E-02,1.42E-01,-1.43E+00
LSM3P3,3.41E-01,6.15E-01,-1.43E+00
KAT8,5.88E-02,2.20E-01,-1.43E+00
ZSWIM8,5.77E-02,2.17E-01,-1.44E+00
FAM72D,1.45E-01,3.81E-01,-1.44E+00
ITGB4,8.24E-04,1.14E-02,-1.44E+00
CLN6,2.13E-03,2.28E-02,-1.44E+00
PLEKHA4,2.29E-01,4.92E-01,-1.44E+00
LRRC57,3.90E-02,1.71E-01,-1.44E+00
AC068338.2,3.42E-01,6.16E-01,-1.44E+00
AL845472.2,3.09E-01,5.84E-01,-1.44E+00
KITLG,1.32E-01,3.60E-01,-1.44E+00
Mar-05,1.22E-01,3.44E-01,-1.44E+00
AC004980.3,1.85E-01,4.39E-01,-1.44E+00
CHUK,9.61E-02,2.99E-01,-1.44E+00
AL035071.1,7.44E-02,2.56E-01,-1.44E+00
AC015689.2,5.12E-01,7.60E-01,-1.44E+00
PXMP4,3.30E-02,1.54E-01,-1.44E+00
IAH1,8.76E-02,2.82E-01,-1.44E+00
NUDCD3,6.81E-03,5.19E-02,-1.44E+00
MAP2K5,5.30E-03,4.34E-02,-1.44E+00
NSUN5P2,6.20E-02,2.27E-01,-1.44E+00
SLC16A6,3.69E-01,6.41E-01,-1.44E+00
COX7A2,1.53E-04,3.44E-03,-1.44E+00
E2F8,1.39E-01,3.71E-01,-1.44E+00
ZNF845,7.93E-02,2.66E-01,-1.44E+00
BCAT1,8.64E-01,9.53E-01,-1.44E+00
ATP13A3,1.53E-04,3.44E-03,-1.44E+00
CYP1B1,2.28E-04,4.62E-03,-1.44E+00
ST5,1.64E-01,4.11E-01,-1.44E+00
DENND6A,1.63E-01,4.09E-01,-1.44E+00
SLC48A1,1.85E-03,2.05E-02,-1.44E+00
ME1,2.49E-02,1.26E-01,-1.44E+00
LIPE,3.63E-01,6.36E-01,-1.44E+00
F2R,9.69E-03,6.65E-02,-1.44E+00
MTMR1,3.31E-03,3.11E-02,-1.44E+00
POLL,5.88E-02,2.20E-01,-1.44E+00
AL390719.1,1.23E-01,3.45E-01,-1.44E+00
LIN7B,1.26E-01,3.49E-01,-1.44E+00
Mar-09,3.77E-02,1.67E-01,-1.45E+00
AGTRAP,3.47E-02,1.58E-01,-1.45E+00
AC108463.1,4.02E-01,6.70E-01,-1.45E+00
REC8,7.91E-01,9.24E-01,-1.45E+00
TGDS,3.58E-01,6.31E-01,-1.45E+00
SGCE,1.34E-01,3.62E-01,-1.45E+00
IQSEC1,2.38E-03,2.47E-02,-1.45E+00
PFKFB2,6.45E-02,2.33E-01,-1.45E+00
MRPS31P5,6.22E-01,8.32E-01,-1.45E+00
PHF7,3.18E-01,5.93E-01,-1.45E+00
SLC25A25-AS1,9.19E-01,9.71E-01,-1.45E+00
ZFP64,3.13E-02,1.48E-01,-1.45E+00
AC104763.3,1.43E-01,3.79E-01,-1.45E+00
CAPN15,1.66E-03,1.91E-02,-1.45E+00
DLK2,2.85E-01,5.59E-01,-1.45E+00
GORASP1,2.12E-01,4.74E-01,-1.45E+00
DUSP4,7.69E-03,5.67E-02,-1.45E+00
C1orf109,9.84E-03,6.73E-02,-1.45E+00
PAXIP1,1.03E-03,1.34E-02,-1.45E+00
CCDC57,4.72E-02,1.91E-01,-1.45E+00
HDGFL3,2.00E-04,4.21E-03,-1.45E+00
AC116366.3,6.81E-01,8.68E-01,-1.45E+00
CHP1,5.71E-04,8.86E-03,-1.45E+00
SPINDOC,1.69E-01,4.18E-01,-1.45E+00
MTCO1P40,3.47E-01,6.22E-01,-1.45E+00
RUSC2,4.32E-01,6.96E-01,-1.45E+00
NKIRAS1,1.71E-01,4.21E-01,-1.45E+00
PLEKHN1,1.79E-01,4.32E-01,-1.45E+00
ARPP19,1.27E-02,8.05E-02,-1.45E+00
WHAMM,8.40E-04,1.16E-02,-1.45E+00
HERC2P4,9.22E-01,9.73E-01,-1.45E+00
UGCG,8.23E-04,1.14E-02,-1.45E+00
FLNB,5.46E-04,8.61E-03,-1.45E+00
REV3L,2.46E-05,8.73E-04,-1.45E+00
PMAIP1,5.43E-02,2.10E-01,-1.46E+00
BNC2-AS1,3.30E-01,6.05E-01,-1.46E+00
SPATA5L1,2.61E-01,5.30E-01,-1.46E+00
CYBA,8.60E-01,9.52E-01,-1.46E+00
MEF2A,2.43E-02,1.24E-01,-1.46E+00
PTPN9,6.20E-03,4.86E-02,-1.46E+00
RBM43,4.52E-03,3.90E-02,-1.46E+00
NUDT8,1.22E-01,3.43E-01,-1.46E+00
GABPB1-AS1,8.00E-05,2.10E-03,-1.46E+00
AC027644.3,2.02E-02,1.09E-01,-1.46E+00
SKA2P1,5.86E-02,2.20E-01,-1.46E+00
FAM69A,6.97E-02,2.45E-01,-1.46E+00
BTG2,1.90E-01,4.45E-01,-1.46E+00
CA5BP1,8.80E-03,6.27E-02,-1.46E+00
B3GNT5,2.40E-02,1.23E-01,-1.46E+00
MTCO1P12,3.71E-01,6.43E-01,-1.46E+00
LIN54,1.25E-01,3.47E-01,-1.46E+00
ZFP41,2.34E-02,1.21E-01,-1.46E+00
AL591684.2,5.10E-02,2.02E-01,-1.46E+00
EEF1AKMT2,6.83E-02,2.41E-01,-1.46E+00
SPG21,1.96E-02,1.07E-01,-1.46E+00
AC012354.2,1.22E-01,3.44E-01,-1.46E+00
HSPA2,2.43E-02,1.24E-01,-1.46E+00
MAN2A2,6.47E-03,4.99E-02,-1.46E+00
NPTN,9.34E-03,6.50E-02,-1.46E+00
MINDY2,1.26E-03,1.56E-02,-1.46E+00
GALK2,2.86E-02,1.40E-01,-1.46E+00
CMIP,1.52E-04,3.43E-03,-1.46E+00
MTFP1,5.55E-03,4.49E-02,-1.46E+00
CSRP1,2.74E-05,9.49E-04,-1.46E+00
WFS1,1.85E-02,1.04E-01,-1.46E+00
PDE8A,1.59E-03,1.84E-02,-1.46E+00
ATP2A1-AS1,5.70E-02,2.16E-01,-1.46E+00
DPP8,2.22E-04,4.56E-03,-1.46E+00
AL391056.1,3.21E-01,5.95E-01,-1.46E+00
NPR3,1.38E-01,3.69E-01,-1.47E+00
IQCE,4.96E-03,4.13E-02,-1.47E+00
H6PD,1.11E-02,7.35E-02,-1.47E+00
DDR1,4.69E-05,1.42E-03,-1.47E+00
ANKRD9,1.47E-02,8.87E-02,-1.47E+00
SLC35B4,4.53E-04,7.50E-03,-1.47E+00
CLDN1,4.48E-02,1.86E-01,-1.47E+00
LINC01089,1.76E-01,4.26E-01,-1.47E+00
AP3S2,6.91E-04,1.02E-02,-1.47E+00
ZNF746,4.04E-01,6.72E-01,-1.47E+00
ARHGEF11,1.12E-02,7.37E-02,-1.47E+00
VPS54,2.75E-01,5.47E-01,-1.47E+00
POM121,1.16E-04,2.79E-03,-1.47E+00
USP42,3.14E-04,5.77E-03,-1.47E+00
CAMKMT,1.59E-01,4.04E-01,-1.47E+00
C8orf44,2.61E-01,5.30E-01,-1.47E+00
LTBP3,3.72E-02,1.66E-01,-1.47E+00
KLF13,4.78E-03,4.03E-02,-1.47E+00
PDE6A,7.74E-01,9.18E-01,-1.47E+00
ANXA8L1,3.68E-01,6.41E-01,-1.47E+00
RTN4IP1,1.28E-02,8.11E-02,-1.47E+00
PELI1,6.04E-02,2.24E-01,-1.47E+00
TFCP2L1,7.27E-02,2.52E-01,-1.47E+00
ACTN4,5.98E-02,2.23E-01,-1.47E+00
UFSP1,9.34E-02,2.93E-01,-1.47E+00
ZNF92,1.08E-01,3.22E-01,-1.47E+00
KRT7,4.99E-03,4.15E-02,-1.47E+00
AL591135.1,3.51E-02,1.60E-01,-1.47E+00
AL358176.3,5.04E-01,7.55E-01,-1.47E+00
GDF15,9.29E-04,1.24E-02,-1.47E+00
RAMMET,5.07E-03,4.19E-02,-1.47E+00
SLC35G1,7.15E-02,2.49E-01,-1.47E+00
FAM229A,4.68E-01,7.26E-01,-1.47E+00
SETDB2,1.80E-01,4.33E-01,-1.48E+00
SPRYD7,7.88E-04,1.11E-02,-1.48E+00
PLEKHA1,3.88E-04,6.71E-03,-1.48E+00
MLLT11,2.58E-04,5.02E-03,-1.48E+00
AMH,2.38E-01,5.03E-01,-1.48E+00
BCL3,2.24E-04,4.57E-03,-1.48E+00
ANXA6,1.07E-02,7.17E-02,-1.48E+00
SNX33,3.99E-02,1.73E-01,-1.48E+00
NRP2,4.34E-04,7.26E-03,-1.48E+00
CCDC69,1.63E-01,4.08E-01,-1.48E+00
WDR13,1.20E-03,1.50E-02,-1.48E+00
RRP12,1.08E-02,7.23E-02,-1.48E+00
SPRED1,2.50E-02,1.26E-01,-1.48E+00
CENPA,1.30E-01,3.57E-01,-1.48E+00
SMAP2,7.56E-03,5.59E-02,-1.48E+00
RAB26,1.16E-01,3.35E-01,-1.48E+00
TSTD3,2.18E-01,4.80E-01,-1.48E+00
LCMT2,1.72E-01,4.22E-01,-1.48E+00
ZRANB1,1.17E-04,2.80E-03,-1.48E+00
AKR1C1,5.85E-03,4.65E-02,-1.48E+00
AAGAB,1.00E-01,3.06E-01,-1.48E+00
LIN9,2.77E-01,5.49E-01,-1.48E+00
ABCA7,2.81E-01,5.55E-01,-1.48E+00
CIB1,7.75E-06,3.55E-04,-1.48E+00
RPL4P5,1.13E-02,7.43E-02,-1.48E+00
SEMA4B,2.05E-01,4.65E-01,-1.48E+00
RALA,1.36E-03,1.65E-02,-1.48E+00
ANXA11,3.10E-04,5.73E-03,-1.48E+00
HHAT,4.67E-02,1.90E-01,-1.48E+00
CRYBG1,9.63E-02,2.99E-01,-1.49E+00
PREX1,1.48E-01,3.86E-01,-1.49E+00
RPS6KA1,1.98E-02,1.08E-01,-1.49E+00
RHOT2,7.09E-04,1.04E-02,-1.49E+00
GHITM,5.95E-05,1.69E-03,-1.49E+00
TYW1B,1.29E-01,3.55E-01,-1.49E+00
RPL39L,9.26E-02,2.91E-01,-1.49E+00
CALD1,2.15E-06,1.37E-04,-1.49E+00
EDN1,5.73E-06,2.87E-04,-1.49E+00
PTCD3,7.00E-08,8.39E-06,-1.49E+00
DCLRE1A,3.16E-02,1.49E-01,-1.49E+00
PLS1,3.76E-03,3.43E-02,-1.49E+00
STOML1,1.16E-01,3.35E-01,-1.49E+00
PTMAP4,1.15E-01,3.34E-01,-1.49E+00
TRIML2,4.19E-03,3.70E-02,-1.49E+00
TTC7B,6.76E-02,2.40E-01,-1.49E+00
LINC00339,1.34E-01,3.64E-01,-1.49E+00
AC007318.1,3.11E-01,5.85E-01,-1.49E+00
A1BG-AS1,2.49E-01,5.16E-01,-1.49E+00
SNHG11,2.06E-02,1.11E-01,-1.49E+00
ZNF620,1.09E-01,3.24E-01,-1.49E+00
AL136040.1,3.35E-01,6.10E-01,-1.49E+00
UBE2H,1.44E-04,3.31E-03,-1.49E+00
TMEM14A,1.61E-01,4.06E-01,-1.49E+00
LIMD1,6.27E-02,2.29E-01,-1.49E+00
DIP2B,1.49E-03,1.76E-02,-1.49E+00
PI4KAP1,3.19E-01,5.94E-01,-1.49E+00
ARHGEF26,8.98E-01,9.65E-01,-1.49E+00
MID1,6.15E-08,7.75E-06,-1.49E+00
AL137127.1,2.23E-01,4.85E-01,-1.50E+00
B4GALT5,6.45E-04,9.75E-03,-1.50E+00
ANKEF1,2.07E-02,1.11E-01,-1.50E+00
DSTN,1.38E-08,2.13E-06,-1.50E+00
ZNF674-AS1,5.16E-01,7.63E-01,-1.50E+00
CD276,5.22E-03,4.28E-02,-1.50E+00
ATRAID,7.50E-03,5.57E-02,-1.50E+00
ZSCAN5A,7.47E-03,5.56E-02,-1.50E+00
IL6R,8.47E-04,1.17E-02,-1.50E+00
PAPOLG,9.22E-02,2.91E-01,-1.50E+00
BST1,4.77E-01,7.33E-01,-1.50E+00
AC091042.1,4.94E-01,7.48E-01,-1.50E+00
AC074117.1,2.54E-01,5.22E-01,-1.50E+00
VASH1-AS1,1.88E-01,4.44E-01,-1.50E+00
ACO2,7.44E-03,5.55E-02,-1.50E+00
AC016831.1,3.11E-01,5.85E-01,-1.50E+00
CAB39L,2.72E-01,5.44E-01,-1.50E+00
POLG,4.46E-04,7.42E-03,-1.50E+00
GPD1L,4.80E-01,7.36E-01,-1.50E+00
TMEM68,1.55E-01,3.97E-01,-1.50E+00
CRIM1,9.48E-04,1.26E-02,-1.50E+00
RDM1,3.34E-02,1.55E-01,-1.50E+00
NOD1,4.95E-02,1.99E-01,-1.50E+00
CLEC16A,6.07E-02,2.25E-01,-1.50E+00
UBE3C,1.46E-05,5.91E-04,-1.50E+00
PLCE1,9.74E-03,6.68E-02,-1.50E+00
SUCLG1,6.66E-06,3.16E-04,-1.50E+00
ADPRHL1,2.57E-02,1.29E-01,-1.50E+00
PPP2R2D,5.80E-05,1.67E-03,-1.50E+00
MARK4,4.81E-02,1.95E-01,-1.50E+00
ZUP1,8.90E-02,2.85E-01,-1.50E+00
TYSND1,3.02E-03,2.92E-02,-1.50E+00
POLR2M,1.80E-01,4.32E-01,-1.50E+00
HSD17B8,2.73E-02,1.35E-01,-1.51E+00
HADHA,4.39E-06,2.37E-04,-1.51E+00
NUSAP1,5.72E-06,2.87E-04,-1.51E+00
ZNF251,2.06E-01,4.67E-01,-1.51E+00
ZNF692,1.98E-02,1.08E-01,-1.51E+00
ZWILCH,1.30E-06,9.29E-05,-1.51E+00
MMAA,3.54E-01,6.28E-01,-1.51E+00
AL135903.1,3.35E-01,6.10E-01,-1.51E+00
EID1,2.25E-03,2.38E-02,-1.51E+00
GFPT2,3.73E-02,1.66E-01,-1.51E+00
GATD3A,8.80E-02,2.83E-01,-1.51E+00
FMC1,4.44E-01,7.08E-01,-1.51E+00
PCBP4,1.53E-02,9.13E-02,-1.51E+00
AL353743.3,4.71E-01,7.28E-01,-1.51E+00
AC010240.1,3.22E-01,5.96E-01,-1.51E+00
FASTK,3.79E-03,3.45E-02,-1.51E+00
PTTG1IP,3.29E-07,3.06E-05,-1.51E+00
MATN2,8.87E-02,2.84E-01,-1.51E+00
TCP1P1,2.96E-01,5.69E-01,-1.51E+00
TYMP,7.29E-02,2.53E-01,-1.51E+00
MTHFD2,3.95E-02,1.72E-01,-1.51E+00
LGALS3BP,6.82E-04,1.01E-02,-1.51E+00
VPS39,7.98E-02,2.67E-01,-1.51E+00
TRIP4,1.52E-02,9.06E-02,-1.51E+00
COX5A,7.95E-04,1.12E-02,-1.51E+00
SNAPC5,2.17E-02,1.15E-01,-1.52E+00
MYO9A,1.74E-06,1.15E-04,-1.52E+00
DEXI,5.01E-02,2.00E-01,-1.52E+00
ITM2C,1.58E-01,4.01E-01,-1.52E+00
ZNF799,8.39E-01,9.44E-01,-1.52E+00
PLEKHO1,2.28E-02,1.19E-01,-1.52E+00
MRPL46,1.40E-05,5.76E-04,-1.52E+00
MORN4,6.76E-02,2.40E-01,-1.52E+00
CDR2L,2.22E-02,1.17E-01,-1.52E+00
FBXL18,3.03E-02,1.45E-01,-1.52E+00
SLFN13,7.84E-01,9.22E-01,-1.52E+00
AGBL5,2.30E-03,2.42E-02,-1.52E+00
VPS9D1,1.43E-01,3.79E-01,-1.52E+00
MBLAC1,1.78E-01,4.30E-01,-1.52E+00
CHFR,9.17E-03,6.43E-02,-1.52E+00
NGRN,9.64E-05,2.43E-03,-1.52E+00
LMBRD1,2.45E-01,5.10E-01,-1.52E+00
MAP3K10,8.78E-01,9.58E-01,-1.52E+00
CUEDC2,1.75E-03,1.97E-02,-1.52E+00
AL365181.2,1.61E-02,9.40E-02,-1.52E+00
KIAA1328,2.12E-01,4.74E-01,-1.52E+00
ZNF319,1.23E-02,7.90E-02,-1.52E+00
OSBPL9,3.10E-03,2.98E-02,-1.52E+00
AEN,7.21E-06,3.41E-04,-1.52E+00
MYO5A,1.97E-04,4.17E-03,-1.52E+00
PLEKHA6,6.70E-02,2.39E-01,-1.52E+00
AL357055.1,9.24E-02,2.91E-01,-1.52E+00
CHAMP1,5.64E-03,4.52E-02,-1.53E+00
SOCS5,6.00E-03,4.74E-02,-1.53E+00
AL121594.1,2.98E-01,5.71E-01,-1.53E+00
AC004980.1,7.59E-01,9.10E-01,-1.53E+00
F12,4.47E-02,1.85E-01,-1.53E+00
C10orf88,5.20E-02,2.04E-01,-1.53E+00
EVA1C,1.04E-02,6.98E-02,-1.53E+00
NDUFA5,7.37E-05,1.98E-03,-1.53E+00
AK1,7.23E-04,1.05E-02,-1.53E+00
AC135048.1,5.84E-02,2.19E-01,-1.53E+00
NDUFA4,1.61E-01,4.06E-01,-1.53E+00
WWP1,1.04E-04,2.59E-03,-1.53E+00
HADHAP2,2.47E-02,1.25E-01,-1.53E+00
AC005363.1,3.74E-02,1.66E-01,-1.53E+00
DEPDC4,9.58E-01,9.87E-01,-1.54E+00
GBAP1,7.34E-02,2.54E-01,-1.54E+00
SLC9A1,3.17E-02,1.49E-01,-1.54E+00
FUOM,5.91E-02,2.21E-01,-1.54E+00
LBR,4.33E-04,7.25E-03,-1.54E+00
GPC2,1.89E-01,4.45E-01,-1.54E+00
PIF1,1.21E-03,1.51E-02,-1.54E+00
HSPG2,3.42E-03,3.20E-02,-1.54E+00
CAMKK2,8.16E-04,1.14E-02,-1.54E+00
PKM,1.50E-03,1.77E-02,-1.54E+00
CALM2P3,4.96E-02,1.99E-01,-1.54E+00
AC068768.1,2.22E-02,1.17E-01,-1.54E+00
GFOD1,2.14E-03,2.29E-02,-1.54E+00
RPS2P7,1.49E-01,3.87E-01,-1.54E+00
HIPK2,3.33E-04,6.01E-03,-1.54E+00
ZNF609,2.27E-03,2.39E-02,-1.54E+00
NECTIN1,1.30E-01,3.57E-01,-1.54E+00
MYO18A,3.98E-03,3.58E-02,-1.54E+00
SLC35F6,2.51E-02,1.27E-01,-1.54E+00
UBTD1,2.11E-02,1.13E-01,-1.55E+00
GAK,4.69E-04,7.69E-03,-1.55E+00
BMPR1A,4.38E-02,1.83E-01,-1.55E+00
CACFD1,7.66E-02,2.59E-01,-1.55E+00
MAP1A,8.02E-02,2.67E-01,-1.55E+00
UBR1,3.78E-03,3.44E-02,-1.55E+00
TMEM81,5.40E-01,7.77E-01,-1.55E+00
AP001462.1,2.06E-01,4.66E-01,-1.55E+00
CYB5A,1.13E-01,3.29E-01,-1.55E+00
TMEM268,1.97E-02,1.08E-01,-1.55E+00
AIF1L,4.50E-01,7.13E-01,-1.55E+00
SH3TC1,1.87E-01,4.42E-01,-1.55E+00
BMS1P10,7.91E-01,9.24E-01,-1.55E+00
CD24,1.76E-05,6.78E-04,-1.55E+00
AC133552.5,2.85E-01,5.58E-01,-1.55E+00
MGLL,1.60E-05,6.36E-04,-1.55E+00
SNPH,6.88E-02,2.42E-01,-1.55E+00
GPC1,6.39E-03,4.96E-02,-1.55E+00
GPI,5.52E-07,4.62E-05,-1.56E+00
P2RX4,1.91E-01,4.47E-01,-1.56E+00
C16orf74,9.82E-02,3.03E-01,-1.56E+00
GCFC2,9.03E-03,6.36E-02,-1.56E+00
DNAJB12,1.94E-05,7.14E-04,-1.56E+00
TBX1,7.28E-01,8.94E-01,-1.56E+00
RELL2,1.57E-01,4.00E-01,-1.56E+00
TDRD7,1.97E-01,4.55E-01,-1.56E+00
EHD4,4.59E-03,3.93E-02,-1.56E+00
PPP2R3B,1.69E-02,9.73E-02,-1.56E+00
FAM219B,7.88E-03,5.78E-02,-1.56E+00
PITX1,1.57E-03,1.83E-02,-1.56E+00
ULK3,7.73E-04,1.11E-02,-1.56E+00
PHLDB2,1.85E-07,1.83E-05,-1.56E+00
SNX1,1.94E-02,1.07E-01,-1.56E+00
TIGD5,1.61E-03,1.87E-02,-1.57E+00
CELSR2,1.08E-01,3.21E-01,-1.57E+00
TFEB,1.76E-01,4.27E-01,-1.57E+00
THAP10,2.44E-01,5.10E-01,-1.57E+00
ARHGEF10L,2.47E-01,5.13E-01,-1.57E+00
CYP51A1P1,3.86E-01,6.56E-01,-1.57E+00
CCNC,1.63E-03,1.88E-02,-1.57E+00
MFSD3,1.03E-02,6.92E-02,-1.57E+00
AL023284.3,5.16E-02,2.04E-01,-1.57E+00
MTND2P28,6.16E-03,4.84E-02,-1.57E+00
MPC1,6.58E-02,2.36E-01,-1.57E+00
PCID2,1.39E-03,1.68E-02,-1.57E+00
AC078846.1,2.01E-02,1.09E-01,-1.57E+00
STXBP5,1.38E-03,1.67E-02,-1.57E+00
ITPR3,3.31E-03,3.11E-02,-1.57E+00
SLC26A11,6.68E-02,2.38E-01,-1.57E+00
SNORA80A,1.69E-01,4.17E-01,-1.57E+00
